code,code_name,ipoDate,outDate,type,status
sz.002977,天箭科技,2020-03-17,,1,1
sz.002978,安宁股份,2020-04-17,,1,1
sz.002979,雷赛智能,2020-04-08,,1,1
sz.002980,华盛昌,2020-04-15,,1,1
sz.002981,朝阳科技,2020-04-17,,1,1
sz.002982,湘佳股份,2020-04-24,,1,1
sz.002983,芯瑞达,2020-04-28,,1,1
sz.002984,森麒麟,2020-09-11,,1,1
sz.002985,北摩高科,2020-04-29,,1,1
sz.002986,宇新股份,2020-06-02,,1,1
sz.002987,京北方,2020-05-07,,1,1
sz.002988,豪美新材,2020-05-18,,1,1
sz.002989,中天精装,2020-06-10,,1,1
sz.002990,盛视科技,2020-05-25,,1,1
sz.002991,甘源食品,2020-07-31,,1,1
sz.002992,宝明科技,2020-08-03,,1,1
sz.002993,奥海科技,2020-08-17,,1,1
sz.002995,天地在线,2020-08-05,,1,1
sz.002996,顺博合金,2020-08-28,,1,1
sz.002997,瑞鹄模具,2020-09-03,,1,1
sz.002998,优彩资源,2020-09-25,,1,1
sz.002999,天禾股份,2020-09-03,,1,1
sz.003000,劲仔食品,2020-09-14,,1,1
sz.003001,中岩大地,2020-10-13,,1,1
sz.003002,壶化股份,2020-09-22,,1,1
sz.003003,天元股份,2020-09-21,,1,1
sz.003004,声迅股份,2020-11-26,,1,1
sz.003005,竞业达,2020-09-22,,1,1
sz.003006,百亚股份,2020-09-21,,1,1
sz.003007,直真科技,2020-09-23,,1,1
sz.003008,开普检测,2020-09-23,,1,1
sz.003009,中天火箭,2020-09-25,,1,1
sz.003010,若羽臣,2020-09-25,,1,1
sz.003011,海象新材,2020-09-30,,1,1
sz.003012,东鹏控股,2020-10-19,,1,1
sz.003013,地铁设计,2020-10-22,,1,1
sz.003015,日久光电,2020-10-21,,1,1
sz.003016,欣贺股份,2020-10-26,,1,1
sz.003017,大洋生物,2020-10-26,,1,1
sz.003018,金富科技,2020-11-06,,1,1
sz.003019,宸展光电,2020-11-17,,1,1
sz.003020,立方制药,2020-12-15,,1,1
sz.003021,兆威机电,2020-12-04,,1,1
sz.003022,联泓新科,2020-12-08,,1,1
sz.003023,彩虹集团,2020-12-11,,1,1
sz.003025,思进智能,2020-12-11,,1,1
sz.003026,中晶科技,2020-12-18,,1,1
sz.003027,同兴环保,2020-12-18,,1,1
sz.003028,振邦智能,2020-12-28,,1,1
sz.003029,吉大正元,2020-12-24,,1,1
sz.003030,祖名股份,2021-01-06,,1,1
sz.003031,中瓷电子,2021-01-04,,1,1
sz.003032,传智教育,2021-01-12,,1,1
sz.003033,征和工业,2021-01-11,,1,1
sz.003035,南网能源,2021-01-19,,1,1
sz.003036,泰坦股份,2021-01-28,,1,1
sz.003037,三和管桩,2021-02-04,,1,1
sz.003038,鑫铂股份,2021-02-10,,1,1
sz.003039,顺控发展,2021-03-08,,1,1
sz.003040,楚天龙,2021-03-22,,1,1
sz.003041,真爱美家,2021-04-06,,1,1
sz.003042,中农联合,2021-04-06,,1,1
sz.003043,华亚智能,2021-04-06,,1,1
sz.003816,中国广核,2019-08-26,,1,1
